DATE,OPEN,HIGH,LOW,CLOSE
7/1/2015,31.73,31.74,31.50,31.65
7/2/2015,31.61,31.67,31.44,31.61
7/6/2015,31.24,31.56,31.21,31.50
7/7/2015,31.47,31.54,30.94,31.42
7/8/2015,31.12,31.16,30.64,30.64
7/9/2015,30.96,31.01,29.81,30.02
7/10/2015,30.49,30.96,30.30,30.82
7/13/2015,31.26,31.44,31.08,31.42
7/14/2015,31.51,31.59,31.26,31.40
7/15/2015,31.43,31.79,31.40,31.71
7/16/2015,31.93,32.14,31.84,32.13
7/17/2015,32.27,32.40,32.08,32.40
7/20/2015,32.74,33.24,32.67,33.02
7/21/2015,33.21,33.23,32.58,32.69
7/22/2015,30.50,31.38,30.50,31.31
7/23/2015,31.55,31.77,31.26,31.29
7/24/2015,31.33,31.43,30.98,31.13
7/27/2015,30.77,30.90,30.53,30.69
7/28/2015,30.84,30.98,30.64,30.84
7/29/2015,30.79,30.88,30.57,30.75
7/30/2015,30.58,30.64,30.43,30.59
7/31/2015,30.65,30.66,30.23,30.33
8/3/2015,30.38,30.64,29.38,29.61
8/4/2015,29.36,29.42,28.31,28.66
8/5/2015,28.24,29.36,28.03,28.85
8/6/2015,28.99,29.13,28.53,28.78
8/7/2015,28.65,29.06,28.63,28.88
8/10/2015,29.13,30.00,29.13,29.93
8/11/2015,29.45,29.55,28.33,28.37
8/12/2015,28.13,28.86,27.41,28.81
8/13/2015,29.01,29.10,28.64,28.79
8/14/2015,28.58,29.08,28.50,28.99
8/17/2015,29.01,29.41,28.88,29.29
8/18/2015,29.11,29.36,29.00,29.13
8/19/2015,29.03,29.13,28.67,28.75
8/20/2015,28.52,28.59,27.91,28.16
8/21/2015,27.61,27.98,26.41,26.44
8/24/2015,23.72,27.20,23.00,25.78
8/25/2015,27.78,27.78,25.88,25.93
8/26/2015,26.77,27.47,26.26,27.42
8/27/2015,28.06,28.31,27.50,28.23
8/28/2015,28.04,28.33,27.89,28.32
8/31/2015,28.01,28.63,28.00,28.19
9/1/2015,27.54,27.97,26.84,26.93
9/2/2015,27.56,28.08,27.28,28.08
9/3/2015,28.12,28.20,27.51,27.59
9/4/2015,27.24,27.61,27.13,27.32
9/8/2015,27.94,28.14,27.58,28.08
9/9/2015,28.44,28.50,27.44,27.54
9/10/2015,27.57,28.32,27.48,28.14
9/11/2015,27.95,28.55,27.94,28.55
9/14/2015,29.15,29.22,28.72,28.83
9/15/2015,28.98,29.13,28.61,29.07
9/16/2015,29.06,29.14,28.86,29.10
9/17/2015,28.92,29.12,28.43,28.48
9/18/2015,28.05,28.58,27.97,28.36
9/21/2015,28.42,28.84,28.42,28.80
9/22/2015,28.34,28.55,28.13,28.35
9/23/2015,28.41,28.68,28.33,28.58
9/24/2015,28.31,28.88,28.09,28.75
9/25/2015,29.11,29.17,28.50,28.68
9/28/2015,28.46,28.64,28.11,28.11
9/29/2015,28.21,28.38,26.97,27.26
9/30/2015,27.54,27.89,27.18,27.58
10/1/2015,27.27,27.41,26.83,27.40
10/2/2015,27.00,27.75,26.89,27.59
10/5/2015,27.47,27.84,27.27,27.70
10/6/2015,27.66,27.93,27.44,27.83
10/7/2015,27.93,27.94,27.35,27.70
10/8/2015,27.55,27.55,27.05,27.38
10/9/2015,27.50,28.07,27.37,28.03
10/12/2015,28.18,28.19,27.86,27.90
10/13/2015,27.71,28.11,27.67,27.95
10/14/2015,27.82,27.88,27.39,27.55
10/15/2015,27.73,28.03,27.62,27.97
10/16/2015,27.95,28.00,27.63,27.76
10/19/2015,27.70,27.94,27.53,27.93
10/20/2015,27.83,28.54,27.71,28.44
10/21/2015,28.50,28.90,28.42,28.44
10/22/2015,28.58,28.88,28.53,28.88
10/23/2015,29.17,29.81,29.08,29.77
10/26/2015,29.52,29.53,28.73,28.82
10/27/2015,28.85,29.14,28.50,28.64
10/28/2015,29.23,29.83,29.01,29.82
10/29/2015,29.67,30.17,29.57,30.13
10/30/2015,30.25,30.31,29.86,29.88
11/2/2015,30.20,30.34,29.90,30.30
11/3/2015,30.20,30.87,30.17,30.64
11/4/2015,30.78,30.96,30.41,30.50
11/5/2015,30.46,30.67,30.05,30.23
11/6/2015,30.28,30.45,30.16,30.26
11/9/2015,30.24,30.45,30.01,30.14
11/10/2015,29.23,29.52,29.01,29.19
11/11/2015,29.09,29.36,28.80,29.03
11/12/2015,29.07,29.21,28.91,28.93
11/13/2015,28.80,28.89,28.07,28.08
11/16/2015,27.84,28.56,27.75,28.55
11/17/2015,28.73,28.76,28.33,28.42
11/18/2015,28.94,29.37,28.88,29.32
11/19/2015,29.41,29.94,29.19,29.70
11/20/2015,29.80,29.98,29.71,29.83
11/23/2015,29.82,29.93,29.33,29.44
11/24/2015,29.33,29.84,29.28,29.72
11/25/2015,29.80,29.81,29.48,29.51
11/27/2015,29.57,29.60,29.40,29.45
11/30/2015,29.50,29.85,29.44,29.58
12/1/2015,29.69,29.70,29.22,29.33
12/2/2015,29.33,29.53,29.02,29.07
12/3/2015,29.14,29.20,28.56,28.80
12/4/2015,28.82,29.81,28.78,29.76
12/7/2015,29.75,29.97,29.45,29.57
12/8/2015,29.38,29.65,29.22,29.56
12/9/2015,29.41,29.42,28.77,28.91
12/10/2015,29.01,29.24,28.88,29.04
12/11/2015,28.80,28.85,28.21,28.30
12/14/2015,28.05,28.17,27.45,28.12
12/15/2015,27.99,28.20,27.59,27.62
12/16/2015,27.77,28.00,27.20,27.83
12/17/2015,28.00,28.06,27.25,27.25
12/18/2015,27.23,27.38,26.45,26.51
12/21/2015,26.82,26.84,26.39,26.83
12/22/2015,26.85,26.93,26.61,26.81
12/23/2015,26.82,27.21,26.80,27.15
12/24/2015,27.25,27.25,26.99,27.01
12/28/2015,26.90,26.92,26.55,26.71
12/29/2015,26.74,27.36,26.72,27.18
12/30/2015,27.15,27.17,26.80,26.83
12/31/2015,26.75,26.76,26.21,26.32
1/4/2016,25.65,26.34,25.50,26.34
1/5/2016,26.44,26.46,25.60,25.68
1/6/2016,25.14,25.59,24.97,25.17
1/7/2016,24.67,25.03,24.11,24.11
1/8/2016,24.64,24.78,24.19,24.24
1/11/2016,24.74,24.76,24.33,24.63
1/12/2016,25.14,25.17,24.71,24.99
1/13/2016,25.08,25.30,24.33,24.35
1/14/2016,24.49,25.12,23.93,24.88
1/15/2016,24.05,24.43,23.84,24.28
1/19/2016,24.60,24.66,23.88,24.17
1/20/2016,23.78,24.55,23.36,24.20
