DATE,OPEN,HIGH,LOW,CLOSE
7/1/2011,9600,9800,9000,9800
7/4/2011,10000,10100,9400,10000
7/5/2011,10000,10000,9500,10000
7/6/2011,9900,10000,9500,9500
7/7/2011,9500,9700,9200,9700
7/8/2011,9700,9700,9300,9600
7/11/2011,9500,9600,9500,9600
7/12/2011,9400,9800,9200,9800
7/13/2011,9500,9800,9500,9800
7/14/2011,9700,9800,9600,9800
7/15/2011,9800,9800,9500,9500
7/18/2011,9300,9500,9200,9500
7/19/2011,9200,9300,9100,9300
7/20/2011,9000,9100,9000,9000
7/21/2011,8800,9200,8800,9200
7/22/2011,8800,9000,8800,8800
7/25/2011,8500,8500,8400,8400
7/26/2011,8000,8200,8000,8000
7/27/2011,8000,8000,7700,8000
7/28/2011,7700,8000,7600,7600
7/29/2011,7400,7700,7300,7700
8/1/2011,8000,8000,8000,8000
8/2/2011,8400,8400,8000,8300
8/3/2011,8300,8300,7900,8100
8/4/2011,8300,8300,8100,8300
8/5/2011,8300,8300,8000,8300
8/8/2011,7900,8000,7900,7900
8/9/2011,7600,8000,7600,7600
8/10/2011,7700,7900,7400,7900
8/11/2011,7600,7800,7600,7600
8/12/2011,7800,7800,7300,7500
8/15/2011,7500,7700,7200,7700
8/16/2011,7700,7800,7500,7700
8/17/2011,7800,7800,7400,7800
8/18/2011,7900,7900,7800,7800
8/19/2011,7500,7800,7500,7800
8/22/2011,7500,7900,7500,7900
8/23/2011,7700,7900,7700,7800
8/24/2011,7900,7900,7800,7800
8/25/2011,7700,7700,7700,7700
8/26/2011,7800,7800,7700,7700
8/29/2011,7800,7900,7700,7900
8/30/2011,8000,8100,7900,8000
8/31/2011,7700,8200,7700,8200
9/1/2011,8300,8600,8300,8600
9/5/2011,9000,9000,8600,9000
9/6/2011,9000,9000,8700,8800
9/7/2011,8800,9200,8800,9200
9/8/2011,9200,9600,9200,9200
9/9/2011,9000,9100,8800,8800
9/12/2011,8500,8800,8400,8600
9/13/2011,8900,8900,8500,8800
9/14/2011,8600,9000,8500,8500
9/15/2011,8500,8600,8100,8600
9/16/2011,8300,8300,8200,8200
9/19/2011,8200,8600,8000,8600
9/20/2011,8600,8600,8200,8200
9/21/2011,8400,8400,8000,8100
9/22/2011,8200,8400,7900,8300
9/23/2011,8300,8300,8000,8300
9/26/2011,8400,8400,8100,8300
9/27/2011,8300,8400,8300,8400
9/28/2011,8400,8400,8300,8400
9/29/2011,8100,8500,8100,8400
9/30/2011,8500,8500,8400,8500
10/3/2011,8600,8600,8300,8600
10/4/2011,8500,8700,8500,8700
10/5/2011,8600,8700,8300,8300
10/6/2011,7900,7900,7800,7800
10/7/2011,8000,8000,7700,8000
10/10/2011,8000,8000,7600,7600
10/11/2011,7800,7900,7600,7900
10/12/2011,7700,8000,7700,8000
10/13/2011,8000,8000,7600,7800
10/14/2011,7800,7800,7600,7800
10/17/2011,7800,7800,7800,7800
10/18/2011,7800,7800,7500,7600
10/19/2011,7500,7600,7300,7300
10/20/2011,7500,7600,7400,7600
10/21/2011,7600,7800,7500,7700
10/24/2011,7800,7800,7500,7700
10/25/2011,7500,7600,7500,7600
10/26/2011,7500,7600,7300,7600
10/27/2011,7400,7500,7300,7300
10/28/2011,7400,7500,7400,7500
10/31/2011,7200,7500,7200,7200
11/1/2011,7200,7300,7000,7200
11/2/2011,7000,7500,7000,7300
