DATE, OPEN, HIGH, LOW, CLOSE
1/7/2002,4685.76,4708.7,4620.7,4685.76
1/8/2002,4044.52,4282.4,4043.5,4044.52
1/10/2002,3797.4,3806.4,3690.4,3797.4
1/11/2002,3996.98,4039.7,3953.3,3996.98
2/7/2002,4546.77,4685.8,4530.7,4546.77
2/8/2002,4075.55,4102.5,4023.3,4075.55
2/9/2002,4180.88,4227.3,4156.2,4180.88
2/10/2002,3905.25,3925.6,3797.4,3905.25
2/12/2002,4154.27,4218.6,4149.8,4154.27
3/7/2002,4392.55,4572.7,4392.6,4392.55
3/9/2002,4028.65,4180.9,3991,4028.65
3/10/2002,3880.34,3961.5,3855.5,3880.34
3/12/2002,4075.39,4154.3,4070.6,4075.39
4/7/2002,4471.19,4471.7,4392.6,4471.19
4/9/2002,4026.95,4071.6,3990.3,4026.95
4/10/2002,3813.77,3886.2,3793.7,3813.77
4/11/2002,4141.46,4143.4,3997,4141.46
4/12/2002,4048.6,4075.4,4023,4048.6
5/6/2002,4989.15,5085.1,4971.4,4989.15
5/7/2002,4615.65,4618.8,4471.2,4615.65
5/8/2002,3996.41,4080.9,3946.4,3996.41
5/9/2002,4011.01,4064.7,3918.6,4011.01
5/11/2002,4146.13,4146.1,4083.1,4146.13
5/12/2002,4032.42,4109.9,4019.6,4032.42
5/30/2002,5040.75,5083,5016.9,5040.75
5/31/2002,5085.07,5085.1,5036.3,5085.07
6/6/2002,4957.63,5016.7,4951.4,4957.63
6/8/2002,4131.03,4136.1,3900.7,4131.03
6/9/2002,4107.22,4138.3,3981.9,4107.22
6/11/2002,4103.72,4192.4,4101,4103.72
6/12/2002,4013.46,4050.4,3931.9,4013.46
6/13/2002,4771.91,4882.8,4762.2,4771.91
6/14/2002,4630.77,4771.9,4565.4,4630.77
6/17/2002,4756.75,4761.7,4630.8,4756.75
6/18/2002,4702.01,4775.1,4697.7,4702.01
6/19/2002,4652.43,4702,4616.7,4652.43
6/20/2002,4580.34,4679.6,4568.4,4580.34
6/21/2002,4605.35,4641.4,4506.3,4605.35
6/24/2002,4541.87,4644.6,4537.7,4541.87
6/25/2002,4630.96,4648.1,4541.9,4630.96
6/26/2002,4531.01,4631,4442.9,4531.01
6/27/2002,4540.65,4589.6,4521,4540.65
6/28/2002,4656.36,4657.1,4540.6,4656.36
7/6/2002,4920.4,4957.6,4851.2,4920.4
7/8/2002,4094.43,4206.9,4069,4094.43
7/10/2002,3780.93,3813.8,3733.4,3780.93
7/11/2002,4081.26,4147.1,4073.4,4081.26
7/15/2002,3994.5,4258.7,3974.6,3994.5
7/16/2002,4021.93,4080,3860.3,4021.93
7/17/2002,4190.63,4200,3966.8,4190.63
7/18/2002,4297.3,4301.2,4168.1,4297.3
7/19/2002,4098.32,4297.3,4098.3,4098.32
7/22/2002,3895.5,4098.3,3895.5,3895.5
7/23/2002,3857.99,3994.4,3794.4,3857.99
7/24/2002,3777.13,3858,3625.9,3777.13
7/25/2002,3965.89,3965.9,3777.1,3965.89
7/26/2002,4016.65,4029.5,3854.2,4016.65
7/29/2002,4202.7,4202.7,4016.6,4202.7
7/30/2002,4180.92,4271.3,4133.7,4180.92
7/31/2002,4246.21,4306.1,4169.4,4246.21
8/7/2002,4601.29,4615.6,4552,4601.29
8/8/2002,4240.47,4240.5,4094.4,4240.47
8/10/2002,3730.47,3840.5,3723.9,3730.47
8/11/2002,4034.58,4091.6,4026.2,4034.58
8/13/2002,4271.66,4271.7,4162.5,4271.66
8/14/2002,4171.06,4271.7,4158.3,4171.06
8/15/2002,4327.45,4345.7,4171.1,4327.45
8/16/2002,4329.97,4382.3,4285.9,4329.97
8/19/2002,4426.85,4432.3,4307.7,4426.85
8/20/2002,4368.89,4452.4,4361.5,4368.89
8/21/2002,4364.8,4466.4,4348.9,4364.8
8/22/2002,4434.72,4437.2,4364.8,4434.72
8/23/2002,4389.82,4455.3,4389.8,4389.82
8/27/2002,4449.72,4464,4358.3,4449.72
8/28/2002,4274.02,4449.7,4274,4274.02
8/29/2002,4209.31,4274,4179.3,4209.31
8/30/2002,4227.28,4259.3,4173.5,4227.28
9/7/2002,4542.94,4636.1,4493,4542.94
9/8/2002,4322.36,4322.4,4190.4,4322.36
9/9/2002,4062.44,4107.2,4035.5,4062.44
9/10/2002,3742.4,3778.3,3704.3,3742.4
9/12/2002,3933.93,4039.8,3933.9,3933.93
9/13/2002,4008.02,4085.3,3927.8,4008.02
9/16/2002,4044.25,4068.4,3973.7,4044.25
9/17/2002,4025.15,4150.2,4014.7,4025.15
9/18/2002,3865.41,4025.1,3865.4,3865.41
9/19/2002,3813.53,3896.9,3781.6,3813.53
9/20/2002,3860.1,4064.1,3755.6,3860.1
9/23/2002,3739.37,3925.2,3717.8,3739.37
9/24/2002,3671.13,3761.1,3609.9,3671.13
9/25/2002,3696.25,3771.5,3624.2,3696.25
9/26/2002,3850.61,3850.6,3696.2,3850.61
9/27/2002,3907.2,3920.3,3831.2,3907.2
9/30/2002,3721.75,3907.2,3669.7,3721.75
10/6/2002,4928.21,4948.3,4905,4928.21
10/7/2002,4420.13,4542.9,4420.1,4420.13
10/9/2002,4175.52,4177.6,4062.4,4175.52
10/10/2002,3777.28,3780.4,3663.4,3777.28
10/12/2002,3925,3985.6,3912.1,3925
10/14/2002,3931.64,3992.6,3908.1,3931.64
10/15/2002,4130.33,4130.3,3931.6,4130.33
10/16/2002,4057.71,4179.6,4031.6,4057.71
10/17/2002,4170.68,4189,4057.7,4170.68
10/18/2002,4130.54,4197.5,4075.4,4130.54
10/21/2002,4133.77,4156.3,4086.5,4133.77
10/22/2002,4118.88,4184.6,4108.8,4118.88
10/23/2002,4006.91,4166.6,4006.9,4006.91
10/24/2002,4103.69,4107.7,4006.9,4103.69
10/25/2002,4051.09,4103.7,4019.8,4051.09
10/28/2002,4090.46,4147.9,4051.1,4090.46
10/29/2002,3935.93,4090.5,3919.4,3935.93
10/30/2002,4002.65,4002.7,3934.6,4002.65
10/31/2002,4039.66,4073,3978.7,4039.66
11/6/2002,4934.82,4943.7,4888.3,4934.82
11/7/2002,4230.05,4420.1,4230,4230.05
11/9/2002,4210.66,4246.4,4129.4,4210.66
11/10/2002,3953.38,3953.4,3777.3,3953.38
11/11/2002,4015.58,4044,3961,4015.58
11/12/2002,3974.87,3995,3919.9,3974.87
11/13/2002,4029.38,4085,3986.9,4029.38
11/14/2002,4053.14,4064,3985.4,4053.14
11/15/2002,4091.62,4117.4,4053.1,4091.62
11/18/2002,4115.99,4164.7,4087,4115.99
11/19/2002,4096.51,4116.9,4070.7,4096.51
11/20/2002,4094.86,4118.4,4069.3,4094.86
11/21/2002,4190,4194.8,4094.9,4190
11/22/2002,4175.23,4224.8,4162.8,4175.23
11/25/2002,4122.21,4197.7,4108,4122.21
11/26/2002,4070.96,4142.1,4058.3,4070.96
11/27/2002,4144.19,4146.2,4060.9,4144.19
11/28/2002,4185.4,4202.2,4138.9,4185.4
