DATE,OPEN,HIGH,LOW,CLOSE
7/1/2008,1120.5,1120.5,1120.5,1120.5
7/2/2008,1152.2,1152.2,1152.2,1152.2
7/3/2008,1183.9,1183.9,1183.9,1183.9
7/4/2008,1215.6,1215.6,1215.6,1215.6
7/7/2008,1247.3,1247.3,1183.9,1247.3
7/8/2008,1226.2,1279,1215.6,1279
7/9/2008,1310.7,1310.7,1300.2,1310.7
7/10/2008,1342.5,1342.5,1342.5,1342.5
7/11/2008,1382.2,1382.2,1382.2,1382.2
7/14/2008,1423.6,1423.6,1423.6,1423.6
7/15/2008,1465.1,1465.1,1465.1,1465.1
7/16/2008,1494.7,1494.7,1465.1,1494.7
7/17/2008,1539.1,1539.1,1539.1,1539.1
7/18/2008,1583.5,1583.5,1539.1,1583.5
7/21/2008,1553.9,1583.5,1539.1,1539.1
7/22/2008,1494.7,1494.7,1494.7,1494.7
7/23/2008,1450.3,1450.3,1450.3,1450.3
7/24/2008,1479.9,1479.9,1408.8,1420.7
7/25/2008,1462.1,1462.1,1435.5,1462.1
7/28/2008,1494.7,1494.7,1494.7,1494.7
7/29/2008,1539.1,1539.1,1539.1,1539.1
7/30/2008,1583.5,1583.5,1583.5,1583.5
7/31/2008,1627.9,1627.9,1627.9,1627.9
8/1/2008,1672.3,1672.3,1672.3,1672.3
8/4/2008,1716.7,1716.7,1627.9,1642.7
8/5/2008,1613.1,1657.5,1598.3,1613.1
8/6/2008,1657.5,1657.5,1657.5,1657.5
8/7/2008,1701.9,1701.9,1672.3,1687.1
8/8/2008,1701.9,1731.5,1657.5,1731.5
8/11/2008,1775.9,1775.9,1746.3,1775.9
8/12/2008,1820.2,1820.2,1790.6,1820.2
8/13/2008,1820.2,1864.6,1805.4,1864.6
8/14/2008,1909,1909,1894.2,1909
8/15/2008,1953.4,1953.4,1953.4,1953.4
8/18/2008,2027.4,2042.2,1983,2042.2
8/19/2008,2131,2131,2071.8,2131
8/20/2008,2131,2234.6,2101.4,2205
8/21/2008,2205,2308.6,2131,2293.8
8/22/2008,2234.6,2279,2190.2,2190.2
8/25/2008,2293.8,2293.8,2205,2279
8/26/2008,2338.2,2338.2,2190.2,2205
8/27/2008,2101.4,2205,2101.4,2101.4
8/28/2008,1997.8,1997.8,1997.8,1997.8
8/29/2008,1909,1909,1909,1909
9/3/2008,1983,1997.8,1968.2,1997.8
9/4/2008,1923.8,1997.8,1909,1953.4
9/5/2008,1909,1923.8,1864.6,1864.6
9/8/2008,1775.9,1894.2,1775.9,1835
9/9/2008,1864.6,1909,1805.4,1864.6
9/10/2008,1894.2,1894.2,1790.6,1805.4
9/11/2008,1775.4,1820.5,1775.4,1790.4
9/12/2008,1715.2,1775.4,1715.2,1715.2
9/15/2008,1790.4,1790.4,1745.3,1790.4
9/16/2008,1835.5,1835.5,1715.2,1715.2
9/17/2008,1655,1685.1,1655,1655
9/18/2008,1579.8,1579.8,1579.8,1579.8
9/19/2008,1655,1655,1655,1655
9/22/2008,1730.2,1730.2,1730.2,1730.2
9/23/2008,1715.2,1805.4,1685.1,1760.3
9/24/2008,1745.3,1760.3,1700.1,1700.1
9/25/2008,1745.3,1775.4,1730.2,1775.4
9/26/2008,1850.6,1850.6,1775.4,1835.5
9/29/2008,1745.3,1835.5,1745.3,1760.3
9/30/2008,1685.1,1685.1,1685.1,1685.1
10/1/2008,1715.2,1730.2,1609.9,1624.9
10/2/2008,1624.9,1670,1579.8,1624.9
10/3/2008,1579.8,1624.9,1579.8,1579.8
10/6/2008,1534.6,1534.6,1501.5,1501.5
10/7/2008,1429.3,1429.3,1429.3,1429.3
10/8/2008,1360.1,1360.1,1360.1,1360.1
10/9/2008,1293.9,1369.1,1293.9,1293.9
10/10/2008,1230.7,1230.7,1230.7,1230.7
10/13/2008,1194.6,1230.7,1170.5,1170.5
10/14/2008,1227.7,1227.7,1227.7,1227.7
10/15/2008,1287.9,1287.9,1203.6,1287.9
10/16/2008,1224.7,1278.9,1224.7,1248.8
10/17/2008,1248.8,1263.8,1242.7,1254.8
10/20/2008,1248.8,1248.8,1209.7,1212.7
10/21/2008,1248.8,1248.8,1212.7,1248.8
10/22/2008,1203.6,1218.7,1197.6,1200.6
10/23/2008,1143.5,1158.5,1143.5,1143.5
10/24/2008,1086.3,1113.4,1086.3,1086.3
10/27/2008,1032.1,1032.1,1032.1,1032.1
10/28/2008,981,987,981,981
10/29/2008,1029.1,1029.1,938.8,981
10/30/2008,932.8,981,932.8,932.8
10/31/2008,932.8,978,911.8,978
