DATE,OPEN,HIGH,LOW,CLOSE
7/1/2014,22769,22769,22564,22615
7/2/2014,22769,22923,22615,22923
7/3/2014,22974,23590,22974,23436
7/4/2014,23590,23590,23333,23487
7/7/2014,23487,24103,23487,24103
7/8/2014,24103,24103,23538,23897
7/9/2014,23897,24103,23897,24000
7/10/2014,24000,24000,23487,23590
7/11/2014,23333,23538,22821,23231
7/14/2014,23231,23538,23128,23333
7/15/2014,23333,23487,23180,23231
7/16/2014,23538,23538,23077,23077
7/17/2014,23128,23333,22974,23282
7/18/2014,23077,23231,22821,23231
7/21/2014,23231,23231,22821,22872
7/22/2014,23077,23077,22615,22718
7/23/2014,23026,23026,22564,22718
7/24/2014,22872,23231,22667,23180
7/25/2014,23231,23487,23180,23180
7/28/2014,23077,23128,22410,22410
7/29/2014,22359,22564,22308,22410
7/30/2014,22513,22513,22256,22410
7/31/2014,22359,22564,22256,22256
8/1/2014,22103,22462,21949,21949
8/4/2014,21897,22051,21795,21795
8/5/2014,21692,21795,21487,21744
8/6/2014,21949,22308,21641,22205
8/7/2014,22103,22103,21590,21692
8/8/2014,21744,21744,21282,21590
8/11/2014,21538,22000,21538,21795
8/12/2014,21795,22051,21692,21744
8/13/2014,21590,21846,21538,21846
8/14/2014,21949,21949,21538,21538
8/15/2014,21795,21795,21538,21692
8/18/2014,21590,21744,21436,21538
8/19/2014,21641,21692,21538,21538
8/20/2014,21590,21590,21282,21282
8/21/2014,21487,21795,21333,21590
8/22/2014,21795,22256,21795,22051
8/25/2014,22000,22769,22000,22615
8/26/2014,22615,23231,22564,22872
8/27/2014,22872,23077,22564,23077
8/28/2014,22872,24103,22872,23590
8/29/2014,23590,23744,23077,23180
9/3/2014,23180,23897,23077,23077
9/4/2014,22821,23128,22821,22923
9/5/2014,23077,23077,22923,23077
9/8/2014,23077,23077,22923,23026
9/9/2014,23026,23026,22564,22667
9/10/2014,22205,22821,22205,22667
9/11/2014,22667,22769,22564,22769
9/12/2014,22872,22872,22718,22769
9/15/2014,22769,22769,22513,22564
9/16/2014,22462,22564,22256,22256
9/17/2014,22359,23128,22359,23026
9/18/2014,23026,23026,22462,22513
9/19/2014,22513,22615,21897,21897
9/22/2014,21949,22462,21949,22154
9/23/2014,22410,22410,22000,22051
9/24/2014,22051,22308,21846,21846
9/25/2014,21846,22051,21795,22000
9/26/2014,22051,22718,22051,22564
9/29/2014,22308,22615,22308,22410
9/30/2014,22308,22718,22308,22513
10/1/2014,22564,22667,22513,22564
10/2/2014,22564,22615,22410,22564
10/3/2014,22667,23180,22667,23077
10/6/2014,23128,23897,23077,23692
10/7/2014,23692,23744,23333,23333
10/8/2014,23180,23180,22974,23128
10/9/2014,23077,24462,22974,24256
10/10/2014,24256,25077,24000,24667
10/13/2014,24513,24872,24513,24667
10/14/2014,24615,24667,24359,24359
10/15/2014,24051,24513,24051,24513
10/16/2014,24410,24410,23590,24051
10/17/2014,24000,24821,23795,24821
10/20/2014,24923,26154,24923,25897
10/21/2014,25641,26154,25641,25897
