DATE,OPEN,HIGH,LOW,CLOSE
7/1/2009,439.58,439.58,429.46,430
7/2/2009,427.89,436.91,422.35,433.79
7/3/2009,425.11,435.44,425.11,435.44
7/6/2009,442.4,454.27,442.29,454.27
7/7/2009,450.48,455.4,446.93,447.63
7/8/2009,442.99,448.96,440.23,446.79
7/9/2009,450.12,452.08,445.43,446.4
7/10/2009,445.82,445.98,437.33,438.83
7/13/2009,435.83,435.83,426.67,426.67
7/14/2009,425.09,425.47,415.81,418.55
7/15/2009,424.1,430.78,424.1,427.05
7/16/2009,438.07,440.43,432.22,433.47
7/17/2009,431.94,431.94,427.75,428.67
7/20/2009,415.29,415.31,411.39,412.88
7/21/2009,412.97,418.22,412.23,416.43
7/22/2009,423.4,423.4,419.08,419.48
7/23/2009,417.65,434.2,417.21,434.2
7/24/2009,444.96,454.71,444.96,454.71
7/27/2009,462.25,470.19,460.22,469.71
7/28/2009,467.34,472.58,462.68,462.98
7/29/2009,464.39,470.23,458.04,458.04
7/30/2009,451.8,455.23,444.95,451.91
7/31/2009,457.55,466.76,457.55,466.76
8/3/2009,466.82,473.25,465.36,467.93
8/4/2009,475.09,477.61,472.64,476.59
8/5/2009,474.38,481.29,472.33,481.29
8/6/2009,481.61,490.99,481.27,481.44
8/7/2009,480.42,483.46,478.64,480.65
8/10/2009,485.92,492.33,483.68,491.2
8/11/2009,490.96,494.68,490.46,494.17
8/12/2009,498.76,501.57,496.8,497.16
8/13/2009,501.99,506.6,501.99,503.58
8/14/2009,503.7,509.27,502.65,506.99
8/17/2009,505.49,508.51,500.08,500.08
8/18/2009,496.79,501.63,495.46,499.69
8/19/2009,505,508.46,503.36,508.46
8/20/2009,513.84,515.24,510.4,513.9
8/21/2009,522.11,530.45,519.17,519.17
8/24/2009,522.15,528.84,522.15,528.2
8/25/2009,532.01,532.91,527.04,528.85
8/26/2009,529.97,532.74,525.95,525.95
8/27/2009,527.13,529.67,523.18,527.04
8/28/2009,533.61,536.53,530.66,536.53
8/31/2009,541.89,547.38,541.89,546.78
9/1/2009,545.05,549.59,542.41,547.69
9/3/2009,541,548.38,539.47,540.81
9/4/2009,543.01,544.31,528.49,528.49
9/7/2009,528.16,528.16,513.49,524.51
9/8/2009,529.96,538.59,529.76,537.81
9/9/2009,539.9,542,536.11,536.11
9/10/2009,535.52,541.9,535.39,540.19
9/11/2009,548.99,549.62,547.84,547.99
9/14/2009,551.7,559.71,551.7,556.59
9/15/2009,558.43,562.23,553.3,556.75
9/16/2009,560.46,562.49,556.98,556.98
9/17/2009,559.35,564.23,553.2,561.19
9/18/2009,561.66,571.01,561.66,571.01
9/21/2009,578.32,581.01,577.96,577.97
9/22/2009,578.64,585.51,577.87,582.85
9/23/2009,587.4,594.32,582.11,582.11
9/24/2009,576.83,583.64,572.16,574.78
9/25/2009,574.1,582.84,574.1,582.84
9/28/2009,585.83,590.91,582.02,582.02
9/29/2009,582.08,587.87,581.23,582.59
9/30/2009,583.16,586.26,578.32,580.9
10/1/2009,581.8,581.8,568.99,568.99
10/2/2009,552.97,556.16,544.32,549.73
10/5/2009,553.21,556.55,543.2,549
10/6/2009,554.08,557.08,550.49,552.03
10/7/2009,560.79,569.58,560.22,566.42
10/8/2009,570.46,571.84,566.04,571.84
10/9/2009,575.39,582.52,575.39,581.99
10/12/2009,588.68,595.69,587.11,594.3
10/13/2009,594.2,597.4,589.49,589.89
10/14/2009,590.84,605.65,590.84,605.65
10/15/2009,612.02,626.11,612.02,617.38
10/16/2009,616.44,619.52,609.54,609.54
10/19/2009,609.03,612.01,605.8,607.11
10/20/2009,615.27,617.08,613.62,616.58
10/21/2009,617.14,622.26,614.73,618.48
10/22/2009,619.53,625.02,619.05,624.1
10/23/2009,626.14,633.21,615.68,615.68
10/26/2009,615.58,623.71,608.26,609.34
10/27/2009,602.61,602.61,590.71,596.78
10/28/2009,602.97,604.82,596.34,599.86
10/29/2009,588.23,588.23,575.73,581.49
10/30/2009,590.85,594.73,583.75,587.12
11/2/2009,565.85,565.85,559.98,561.71
11/3/2009,557.05,557.05,539.46,539.65
11/4/2009,537.82,550.29,533.23,537.53
11/5/2009,545.59,556.57,542.31,555.54
11/6/2009,565.7,569.71,554.88,554.88
11/9/2009,544.91,547.28,534.09,534.09
11/10/2009,534.78,535.71,520,524.4
11/11/2009,526.29,537.59,523.05,537.59
11/12/2009,541.36,550.78,540.58,545.98
11/13/2009,540.64,549.22,536.9,548.21
11/16/2009,550.97,554.54,545.7,545.7
11/17/2009,549.18,550.13,543.61,547.08
11/18/2009,547.17,553.83,543.96,553.83
11/19/2009,556.72,562.64,553.1,560.05
11/20/2009,558.49,562.28,554.21,555.84
11/23/2009,551.92,553.4,537.29,537.29
11/24/2009,535.59,538.79,526.93,527.13
11/25/2009,519.74,519.74,503.24,503.41
11/26/2009,495.6,495.6,479.38,482.6
11/27/2009,464.72,503.13,461.48,490.62
11/30/2009,494.12,506.66,494.12,504.12
12/1/2009,513.42,518.32,512.15,514.92
12/2/2009,507.47,514.83,499.14,499.14
12/3/2009,494.61,502.14,485.59,494.8
12/4/2009,499.87,499.98,493.41,494.96
12/7/2009,495.43,498.61,491.56,498.61
12/8/2009,494.64,495.95,485.56,488.47
12/9/2009,473.31,474.58,468.4,470.63
12/10/2009,474.55,474.55,458.65,458.72
12/11/2009,450.6,452.52,442.61,444.16
12/14/2009,449.25,460.8,447.89,458.39
12/15/2009,458.44,463.42,454.84,459.44
12/16/2009,452.17,452.17,440.2,442.1
12/17/2009,432.42,436.41,427.06,434.87
12/18/2009,440.88,449.55,440.88,443.34
12/21/2009,457.08,460.99,452.55,460.99
12/22/2009,468.03,470.93,462.87,465.24
12/23/2009,464.13,471.35,463.33,470.75
12/24/2009,469.21,479.13,464.39,479.13
12/25/2009,487.92,495.76,487.19,495.08
12/28/2009,490.68,499.02,485.76,492.57
12/29/2009,487.56,493.67,483.76,484.45
12/30/2009,484.25,495.36,483.07,495.36
12/31/2009,502.84,504.84,494.77,494.77
1/4/2010,501.74,517.05,501.74,517.05
1/5/2010,529.23,539.39,529.23,532.53
1/6/2010,529.47,538.84,526.37,534.46
1/7/2010,536.78,540.77,530.68,533.34
1/8/2010,540.95,544.49,520.9,520.9
1/11/2010,522.78,524.06,512.15,515.06
1/12/2010,511.24,516.75,498.31,498.31
1/13/2010,495.72,508.61,485.75,508.61
1/14/2010,516.44,517.72,509.25,512.33
1/15/2010,509.19,512.63,503.29,505.42
1/18/2010,499.08,499.24,487.13,487.13
1/19/2010,489.84,498.1,489.77,495.51
1/20/2010,498.73,499.15,489.5,489.5
1/21/2010,481.97,489.47,477.8,478.42
1/22/2010,474.1,481.69,471.85,477.59
